#r	A[r]	V(A[r])	P[r]
125	2.8922e+06	1.93509e+12	1.55389e+06
126	2.90443e+06	1.93533e+12	1.55221e+06
127	2.91677e+06	1.9356e+12	1.55038e+06
128	2.92926e+06	1.9359e+12	1.54839e+06
129	2.9419e+06	1.93624e+12	1.54623e+06
130	2.95474e+06	1.93662e+12	1.54388e+06
131	2.96779e+06	1.93704e+12	1.54132e+06
132	2.98111e+06	1.93751e+12	1.53852e+06
133	2.99473e+06	1.93802e+12	1.53545e+06
134	3.0087e+06	1.93858e+12	1.53208e+06
135	3.02309e+06	1.93919e+12	1.52837e+06
136	3.03796e+06	1.93985e+12	1.52427e+06
137	3.05341e+06	1.94056e+12	1.51972e+06
138	3.06954e+06	1.9413e+12	1.51465e+06
139	3.08648e+06	1.94207e+12	1.50897e+06
140	3.10439e+06	1.94285e+12	1.50259e+06
141	3.12349e+06	1.94359e+12	1.49535e+06
142	3.14404e+06	1.94426e+12	1.48711e+06
143	3.16639e+06	1.94476e+12	1.47763e+06
