#Time	LowerQ	Median	UpperQ	Lines
0	1	480000	2.19e+07	1000
0.00952	1	480000	2.19e+07	1000
0.0772	1	480000	2.19e+07	1000
0.102	1	480000	2.19e+07	1000
0.117	1	480000	2.19e+07	1000
0.133	1	480000	2.19e+07	1000
0.152	1	492000	2.19e+07	1000
0.174	1	492000	2.19e+07	1000
0.2	1	500000	2.19e+07	1000
0.23	1	505000	2.19e+07	1000
0.267	1	510000	2.19e+07	1000
0.311	5930	517000	2.19e+07	1000
0.367	24200	517000	2.19e+07	1000
0.438	33800	517000	2.19e+07	1000
0.533	39400	517000	2.19e+07	1000
0.667	48300	525000	2.19e+07	1000
1.2	68200	528000	2.19e+07	1000
674	72700	530000	2.19e+07	1000
792	72800	530000	2.19e+07	1000
923	77200	530000	2.19e+07	1000
1100	80100	530000	2.19e+07	1000
1230	81300	530000	2.19e+07	1000
2140	90800	530000	2.19e+07	1000
2710	93000	530000	2.19e+07	1000
3160	95300	530000	2.19e+07	1000
3170	95800	530000	2.19e+07	1000
3230	112000	530000	2.19e+07	1000
7530	112000	530000	2.19e+07	1000
9200	116000	530000	2.19e+07	1000
11600	122000	530000	2.19e+07	1000
16700	124000	530000	2.19e+07	1000
17900	131000	536000	2.19e+07	1000
18000	133000	538000	2.19e+07	1000
18500	136000	538000	2.19e+07	1000
19400	144000	541000	2.19e+07	1000
20400	149000	541000	2.19e+07	1000
21400	151000	543000	2.19e+07	1000
23200	155000	543000	2.19e+07	1000
23500	156000	543000	2.19e+07	1000
23900	158000	543000	2.19e+07	1000
26100	158000	543000	2.19e+07	1000
28300	161000	543000	2.19e+07	1000
29900	163000	543000	2.19e+07	1000
34100	166000	543000	2.19e+07	1000
35000	167000	543000	2.19e+07	1000
35900	169000	546000	2.19e+07	1000
37500	167000	543000	2.19e+07	1000
41900	169000	546000	2.19e+07	1000
42800	174000	547000	2.19e+07	1000
44800	174000	546000	2.19e+07	1000
47100	177000	547000	2.19e+07	1000
47400	174000	546000	2.19e+07	1000
48500	174000	543000	2.19e+07	1000
49700	177000	546000	2.19e+07	1000
49800	177000	543000	2.19e+07	1000
51500	177000	543000	2.19e+07	1000
52000	177000	546000	2.19e+07	1000
52200	177000	543000	2.19e+07	1000
53400	177000	543000	2.19e+07	1000
54200	178000	543000	2.19e+07	1000
54500	178000	543000	2.19e+07	1000
54700	178000	543000	2.19e+07	1000
56600	179000	543000	2.19e+07	1000
56700	179000	543000	2.19e+07	1000
58700	179000	543000	2.19e+07	1000
58900	179000	543000	2.19e+07	1000
59100	179000	543000	2.19e+07	1000
60600	179000	543000	2.19e+07	1000
60900	184000	543000	2.19e+07	1000
